"REFFABRICANTE";"TITULO";"CODIGOINTERNO";"EAN/UPC";"CODFAMILIA";"TITULOFAMILIA";"CODSUBFAMILIA";"TITULOSUBFAMILIA";"CODFABRICANTE";"NOMFABRICANTE";PRECIO;"STOCK";PESO;"PROXIMA_LLEGADA";"CICLOVIDA";"PLAZOENTREGA"
"XONE106184";"X-One Brazalete Running Talla L Morado";"AATFYC0756";"8435484106184";"AT";"Accesorios Telefonía";"FYC";"Fundas y Carcasas";"60173";"X-ONE";3,01;11;0,1000000000;"";"Novedad";"0,0000000000"
"XONE106214";"X-One Brazalete Running Talla XL Blanco";"AATFYC0757";"8435484106214";"AT";"Accesorios Telefonía";"FYC";"Fundas y Carcasas";"60173";"X-ONE";3,35;12;0,1000000000;"";"Novedad";"0,0000000000"
"XONE106221";"X-One Brazalete Running Talla XL Rojo";"AATFYC0758";"8435484106221";"AT";"Accesorios Telefonía";"FYC";"Fundas y Carcasas";"60173";"X-ONE";3,35;16;0,1000000000;"";"Novedad";"0,0000000000"
"XONE106245";"X-One Brazalete Running Talla XL Azul Claro";"AATFYC0759";"8435484106245";"AT";"Accesorios Telefonía";"FYC";"Fundas y Carcasas";"60173";"X-ONE";3,35;15;0,1000000000;"";"Novedad";"0,0000000000"
"XONE106276";"X-One Brazalete Running Talla XL Naranja";"AATFYC0760";"8435484106276";"AT";"Accesorios Telefonía";"FYC";"Fundas y Carcasas";"60173";"X-ONE";3,29;16;0,1000000000;"";"Novedad";"0,0000000000"
"XONE106313";"X-One Elite Cover Samsung S5 Negro";"AATFYC0761";"8435484106313";"AT";"Accesorios Telefonía";"FYC";"Fundas y Carcasas";"60173";"X-ONE";2,93;9;0,1000000000;"";"Novedad";"0,0000000000"
"XONE106368";"X-One Elite Cover iPhone 5 / SE Rosa";"AATFYC0762";"8435484106368";"AT";"Accesorios Telefonía";"FYC";"Fundas y Carcasas";"60173";"X-ONE";2,93;12;0,1000000000;"";"Novedad";"0,0000000000"
"XONE106375";"X-One Elite Cover iPhone 5 / SE Azul";"AATFYC0763";"8435484106375";"AT";"Accesorios Telefonía";"FYC";"Fundas y Carcasas";"60173";"X-ONE";2,93;13;0,1000000000;"";"Novedad";"0,0000000000"
"XONE106382";"X-One Elite Cover iPhone 5 / SE Blanco";"AATFYC0764";"8435484106382";"AT";"Accesorios Telefonía";"FYC";"Fundas y Carcasas";"60173";"X-ONE";2,93;10;0,1000000000;"";"Novedad";"0,0000000000"
"XONE106399";"X-One Elite Cover iPhone 5 / SE Amarillo";"AATFYC0765";"8435484106399";"AT";"Accesorios Telefonía";"FYC";"Fundas y Carcasas";"60173";"X-ONE";2,93;12;0,1000000000;"";"Novedad";"0,0000000000"
"XONE106443";"X-One Funda Universal Monedero Talla L Negro";"AATFYC0766";"8435484106443";"AT";"Accesorios Telefonía";"FYC";"Fundas y Carcasas";"60173";"X-ONE";2,03;17;0,1000000000;"";"Novedad";"0,0000000000"
"XONE106603";"X-One Funda Universal Ventana Talla XL Azul";"AATFYC0767";"8435484106603";"AT";"Accesorios Telefonía";"FYC";"Fundas y Carcasas";"60173";"X-ONE";3,29;13;0,1000000000;"";"Novedad";"0,0000000000"
"XONE106696";"X-One Funda Universal Ventana Talla M Naranja";"AATFYC0768";"8435484106696";"AT";"Accesorios Telefonía";"FYC";"Fundas y Carcasas";"60173";"X-ONE";3,11;20;0,1000000000;"";"Novedad";"0,0000000000"
"XONE106702";"X-One Funda Universal Ventana Talla M Turquesa";"AATFYC0769";"8435484106702";"AT";"Accesorios Telefonía";"FYC";"Fundas y Carcasas";"60173";"X-ONE";3,11;50;0,1000000000;"";"Novedad";"0,0000000000"
"XONE106771";"X-One Sport Cover Samsung S4 Marron";"AATFYC0770";"8435484106771";"AT";"Accesorios Telefonía";"FYC";"Fundas y Carcasas";"60173";"X-ONE";2,93;17;0,1000000000;"";"Novedad";"0,0000000000"
"XONE106917";"X-One Funda Universal Ventana Talla S Azul";"AATFYC0771";"8435484106917";"AT";"Accesorios Telefonía";"FYC";"Fundas y Carcasas";"60173";"X-ONE";2,93;6;0,1000000000;"";"Novedad";"0,0000000000"
"XONE107594";"X-One Card Cover iPhone 6 Negro";"AATFYC0772";"8435484107594";"AT";"Accesorios Telefonía";"FYC";"Fundas y Carcasas";"60173";"X-ONE";2,07;14;0,1000000000;"";"Novedad";"0,0000000000"
"XONE107952";"X-One TPU X-Line iPhone 6 Plus Transparente";"AATFYC0773";"8435484107952";"AT";"Accesorios Telefonía";"FYC";"Fundas y Carcasas";"60173";"X-ONE";1,08;11;0,1000000000;"";"Novedad";"0,0000000000"
"XONE108089";"X-One Funda de Piel Rotacion Samsung Tab 4 T530 Ro";"AATFYC0774";"8435484108089";"AT";"Accesorios Telefonía";"FYC";"Fundas y Carcasas";"60173";"X-ONE";7,25;12;0,1000000000;"";"Novedad";"0,0000000000"
"XONE108140";"X-One Card Cover iPhone 6 Plus Negro";"AATFYC0775";"8435484108140";"AT";"Accesorios Telefonía";"FYC";"Fundas y Carcasas";"60173";"X-ONE";2,07;9;0,1000000000;"";"Novedad";"0,0000000000"
"XONE108805";"X-One TPU X-Line iPhone 6 Rosa";"AATFYC0776";"8435484108805";"AT";"Accesorios Telefonía";"FYC";"Fundas y Carcasas";"60173";"X-ONE";1,08;13;0,1000000000;"";"Novedad";"0,0000000000"
"XONE108829";"X-One TPU X-Line iPhone 6 Azul";"AATFYC0777";"8435484108829";"AT";"Accesorios Telefonía";"FYC";"Fundas y Carcasas";"60173";"X-ONE";1,08;10;0,1000000000;"";"Novedad";"0,0000000000"
"XONE109154";"X-One Carcasa Aluminio iPhone 6 Dorado";"AATFYC0778";"8435484109154";"AT";"Accesorios Telefonía";"FYC";"Fundas y Carcasas";"60173";"X-ONE";3,83;4;0,1000000000;"";"Novedad";"0,0000000000"
"XONE109475";"X-One Funda Universal Ventana Talla L Blanco";"AATFYC0779";"8435484109475";"AT";"Accesorios Telefonía";"FYC";"Fundas y Carcasas";"60173";"X-ONE";3,20;13;0,1000000000;"";"Novedad";"0,0000000000"
"XONE109499";"X-One Funda Universal Ventana Talla L Negro";"AATFYC0780";"8435484109499";"AT";"Accesorios Telefonía";"FYC";"Fundas y Carcasas";"60173";"X-ONE";3,20;3;0,1000000000;"";"Novedad";"0,0000000000"
"XONE109956";"X-One Bumper Bicolor iPhone 6 Naranja - Azul";"AATFYC0781";"8435484109956";"AT";"Accesorios Telefonía";"FYC";"Fundas y Carcasas";"60173";"X-ONE";2,70;15;0,1000000000;"";"Novedad";"0,0000000000"
"XONE109963";"X-One Bumper Bicolor iPhone 6 Plus Blanco - Verde";"AATFYC0782";"8435484109963";"AT";"Accesorios Telefonía";"FYC";"Fundas y Carcasas";"60173";"X-ONE";2,93;14;0,1000000000;"";"Novedad";"0,0000000000"
"XONE109970";"X-One Bumper Bicolor iPhone 6 Plus Naranja - Negro";"AATFYC0783";"8435484109970";"AT";"Accesorios Telefonía";"FYC";"Fundas y Carcasas";"60173";"X-ONE";2,93;20;0,1000000000;"";"Novedad";"0,0000000000"
"XONE109987";"X-One Bumper Bicolor iPhone 6 Plus Verde - Azul";"AATFYC0784";"8435484109987";"AT";"Accesorios Telefonía";"FYC";"Fundas y Carcasas";"60173";"X-ONE";2,93;11;0,1000000000;"";"Novedad";"0,0000000000"
"XONE109994";"X-One Bumper Bicolor iPhone 6 Plus Rosa - Morado";"AATFYC0785";"8435484109994";"AT";"Accesorios Telefonía";"FYC";"Fundas y Carcasas";"60173";"X-ONE";2,93;18;0,1000000000;"";"Novedad";"0,0000000000"
"XONE110068";"X-One TPU Crystal iPhone 6 Plus Rojo";"AATFYC0786";"8435484110068";"AT";"Accesorios Telefonía";"FYC";"Fundas y Carcasas";"60173";"X-ONE";2,03;10;0,1000000000;"";"Novedad";"0,0000000000"
"XONE110112";"X-One TPU Crystal iPhone 6 Plus Morado";"AATFYC0787";"8435484110112";"AT";"Accesorios Telefonía";"FYC";"Fundas y Carcasas";"60173";"X-ONE";2,03;0;0,1000000000;"";"Proximamente";"0,0000000000"
"XONE110150";"X-One Elite Cover iPhone 6 Blanco";"AATFYC0788";"8435484110150";"AT";"Accesorios Telefonía";"FYC";"Fundas y Carcasas";"60173";"X-ONE";2,93;11;0,1000000000;"";"Novedad";"0,0000000000"
"XONE110174";"X-One Elite Cover iPhone 6 Rosa";"AATFYC0789";"8435484110174";"AT";"Accesorios Telefonía";"FYC";"Fundas y Carcasas";"60173";"X-ONE";2,93;13;0,1000000000;"";"Novedad";"0,0000000000"
